batch,p_msmw_w,measure,median,q25,q75
1,0.05,MSM.MSMW,0.00534019908282975,0.004526860902164824,0.0068238470292975245
1,0.05,MSMW.MSW,0.0484096918953973,0.042289563532962454,0.05400769406291167
1,0.05,product,2.600936822176747e-4,2.0934823503038875e-4,3.616241303652749e-4
1,0.25,MSM.MSMW,0.0276606547605907,0.0238857958584094,0.0322391107137602
1,0.25,MSMW.MSW,0.067185504955311,0.05973348207914325,0.07381543194076315
1,0.25,product,0.0018462339721645842,0.001462562359314395,0.0022728177283446328
1,0.5,MSM.MSMW,0.0534496157499352,0.0467216860668297,0.0601404094457263
1,0.5,MSMW.MSW,0.0492371868482107,0.0437610445709797,0.0546401280346234
1,0.5,product,0.002486822083420107,0.002041140956769353,0.003144508434471242
1,0.75,MSM.MSMW,0.0678126750247727,0.05997434914245445,0.07504643604087065
1,0.75,MSMW.MSW,0.0267623855305547,0.02416988798072275,0.03013019383699545
1,0.75,product,0.0018293448120817071,0.0014790925707489524,0.0023365839757884467
1,0.95,MSM.MSMW,0.0403802667405048,0.03628867245198775,0.0472261851010435
1,0.95,MSMW.MSW,0.0053624437422196,0.00411809549430485,0.00680763555602515
1,0.95,product,2.2529904604309087e-4,1.4791897249696303e-4,3.1765623391768485e-4
2,0.05,MSM.MSMW,0.0055704384062593,0.0045648270341604,0.0069040295634086
2,0.05,MSMW.MSW,0.0493024210094378,0.0431541218637992,0.0570631796025496
2,0.05,product,2.7901089516479364e-4,2.045249505169758e-4,3.659232640564773e-4
2,0.25,MSM.MSMW,0.0289362707032691,0.025250167621679597,0.033137109939281595
2,0.25,MSMW.MSW,0.06619879595147694,0.060258251105840294,0.07385275282651722
2,0.25,product,0.0019321398168305488,0.001579467047579189,0.0023200938344722995
2,0.5,MSM.MSMW,0.0535877608086551,0.04671374721388575,0.05796016302261332
2,0.5,MSMW.MSW,0.04993739150261835,0.04449160246450067,0.05480873544695862
2,0.5,product,0.002584042737353279,0.002101635773904262,0.003133442361296321
2,0.75,MSM.MSMW,0.0685519417250498,0.0607311638486242,0.0769246468711898
2,0.75,MSMW.MSW,0.0261463549719613,0.022453615824931702,0.03036979879112975
2,0.75,product,0.0017849503168446716,0.0013434034743665694,0.0023037125995430292
2,0.95,MSM.MSMW,0.0415892033326447,0.0371301979969538,0.0473867404829117
2,0.95,MSMW.MSW,0.0050217951005633,0.0040579946573135,0.0065516286795238
2,0.95,product,2.1728422563797593e-4,1.5199505053736372e-4,3.01792246536041e-4
3,0.05,MSM.MSMW,0.0061727615137918,0.004640936414869075,0.0077966358648205005
3,0.05,MSMW.MSW,0.0520006168776099,0.0433667148714295,0.05827362488007407
3,0.05,product,3.217799940420313e-4,2.276892399738598e-4,4.231969170838843e-4
3,0.25,MSM.MSMW,0.0268709899051458,0.02394190178420625,0.030905187833707725
3,0.25,MSMW.MSW,0.0656599755075241,0.05799959379933577,0.07208196409173674
3,0.25,product,0.0017971163085913774,0.0014273359277487423,0.0021957651667906188
3,0.5,MSM.MSMW,0.0487071277017417,0.04222797147476805,0.055255807826559505
3,0.5,MSMW.MSW,0.0470884671397859,0.04238390890630335,0.0546091962140763
3,0.5,product,0.0022969663064593116,0.0018167832860878875,0.003005855006195247
3,0.75,MSM.MSMW,0.065252810399756,0.05631252192901945,0.07314959607200718
3,0.75,MSMW.MSW,0.026380807873022702,0.022138328829935976,0.030818157396205224
3,0.75,product,0.0017076140257025075,0.001306795202320949,0.0022181218421729637
3,0.95,MSM.MSMW,0.03918298460396455,0.03470689054968212,0.0446654127595641
3,0.95,MSMW.MSW,0.00527644782823595,0.004180349384270325,0.006286136365639375
3,0.95,product,2.126071303227331e-4,1.5306282317797544e-4,2.715812685656411e-4
4,0.05,MSM.MSMW,0.0055731742614536,0.004480331520741375,0.0065599482503962995
4,0.05,MSMW.MSW,0.048010938241297346,0.0419925989998032,0.051792599083984626
4,0.05,product,2.6110625556137815e-4,2.0067872262480166e-4,3.2809717910129506e-4
4,0.25,MSM.MSMW,0.0284241562904354,0.022364672271523153,0.03254465774362855
4,0.25,MSMW.MSW,0.0631552783803326,0.057817266283724356,0.07427245462456505
4,0.25,product,0.0018581087809756884,0.0013311732591199097,0.0023779640462975975
4,0.5,MSM.MSMW,0.05202667915164775,0.044629836369356274,0.057016876184492075
4,0.5,MSMW.MSW,0.04741353235202555,0.04351095127073348,0.05386655054392352
4,0.5,product,0.0024981820361643795,0.0020432636793242206,0.0030230017653580608
4,0.75,MSM.MSMW,0.0665656040002715,0.0587744794396531,0.0740314714272568
4,0.75,MSMW.MSW,0.0263601709599168,0.0222764645426515,0.0303153562712351
4,0.75,product,0.0016839536129906025,0.0013645633271659227,0.0021453143016025925
4,0.95,MSM.MSMW,0.0424766018718502,0.0360496597477987,0.0468343244727854
4,0.95,MSMW.MSW,0.0055125525415164,0.0043412250320254,0.006838772099569
4,0.95,product,2.1915964861881512e-4,1.6325148120590783e-4,2.975056956702693e-4
