p_msmw_w,measure_label,median,q25,q75,mean,sd,min,max
0.05,Bridging Metric,2.774428185195609e-4,2.0449339021895354e-4,3.751441526018469e-4,3.0141293803888304e-4,1.3864953780503566e-4,6.952215267700178e-5,8.551937867507386e-4
0.25,Bridging Metric,0.0018633225091014257,0.0014536722067734426,0.002270000659919997,0.0019010085347355248,6.375550247624623e-4,3.652031878299329e-4,0.004419515884881685
0.5,Bridging Metric,0.0024641098057472024,0.001994177189128878,0.003104549948157527,0.002602202477085623,8.908963727165447e-4,5.253974515727392e-4,0.005996645413861046
0.75,Bridging Metric,0.0017635376473490235,0.0013512025111819606,0.0022492812173072283,0.0018388128017466207,6.299843942246631e-4,4.7102171061749574e-4,0.004246642804033613
0.95,Bridging Metric,2.1728422563797593e-4,1.520403186082365e-4,2.97769965597612e-4,2.3782758394400488e-4,1.1451097041067932e-4,4.4922537250915604e-05,8.669833070799697e-4
0.05,Bridging Proportion 1,0.0055768812920982,0.00453098912163515,0.0069724513904652,0.005852246349404361,0.001843288924397847,0.002072985509626,0.0113169973528911
0.25,Bridging Proportion 1,0.0278526299416776,0.024023709970252247,0.0321732651297962,0.028126691634525296,0.006024950022459983,0.0113876761038844,0.0460837231618088
0.5,Bridging Proportion 1,0.051803129539474746,0.04487295746602653,0.057753237661181504,0.051939587365270726,0.010397589939606976,0.0249753826873153,0.0922021610956892
0.75,Bridging Proportion 1,0.0672484208924177,0.05918465501178695,0.0750082664554412,0.06737165180195487,0.012398992225735329,0.0352032054951345,0.1122487201897864
0.95,Bridging Proportion 1,0.0405124987935527,0.0360328890799656,0.0467844818571578,0.04108731913189969,0.008728351916438863,0.0174915523752733,0.0696908505216597
0.05,Bridging Proportion 2,0.0486663989227243,0.04247119916984595,0.0565519920419368,0.04970944037885904,0.009475649552305562,0.027936493068565,0.0820371064467766
0.25,Bridging Proportion 2,0.06575121997167375,0.05863075519901882,0.07369265603940334,0.06615191680582128,0.01081946162882812,0.0320700364585677,0.0986606550855324
0.5,Bridging Proportion 2,0.04839423642633835,0.04311066944922828,0.0545646534442507,0.048947456301135686,0.008447805717454474,0.0210366126577745,0.0748527412777526
0.75,Bridging Proportion 2,0.0263507683697502,0.0225577641255204,0.03043212950013655,0.026690495440578048,0.005312316319056429,0.0133800801373783,0.0420199946442917
0.95,Bridging Proportion 2,0.0052305990041744,0.0041457770921712,0.0066447842446561,0.005587988153400341,0.0018982723348824333,0.0021407911817622,0.012850113108981
