p_msmw_w,measure_label,median_diff,q25_diff,q75_diff,median_rel_to_gt,q25_rel_to_gt,q75_rel_to_gt,median_rel_to_est,q25_rel_to_est,q75_rel_to_est
0.05,MSMW with MSM,0.0011410181430204502,1.3314372036519995e-4,0.0013725709823859747,0.21596003898635163,0.021938337692062992,0.3019271614192876,0.17722416408362218,0.014262374116141886,0.2318355759315153
0.05,MSMW with MSW,-0.017763803145596196,-0.019531814464222075,-0.014763627113762424,-0.3839040980494791,-0.4104835853479973,-0.3706542795111265,-0.6232312507250201,-0.6969419007644481,-0.5889928698752218
0.05,Product,-5.6546243474678485e-5,-9.621240643304177e-5,-4.034623903096548e-5,-0.2769687044568918,-0.35471397861099374,-0.18541396069275734,-0.38310935540409585,-0.5514767619303349,-0.2283646639642803
0.25,MSMW with MSM,0.001419538640543153,2.4781049648215075e-4,0.0020881644314866285,0.04979155760415856,0.009782361245775414,0.07391636862586262,0.04738256102771432,0.009556259214052249,0.06882772142142926
0.25,MSMW with MSW,-0.014863618727497654,-0.016700631555689804,-0.011940092226631022,-0.22344782913062183,-0.2378746994844917,-0.2155632675678652,-0.28777874655230323,-0.31216692359208975,-0.2748065443401247
0.25,Product,-3.841175451304535e-4,-4.8016960412049225e-4,-2.7104541883425176e-4,-0.18485083047759676,-0.20781816638579237,-0.17225670885943042,-0.2267747344705338,-0.26244941851418585,-0.20810764494374887
0.5,MSMW with MSM,-0.008531540896616296,-0.009909094760932751,-0.007008127655982972,-0.144586662658952,-0.16511826252879644,-0.1274056599352319,-0.16902977341807154,-0.1978352073926033,-0.14600864199337243
0.5,MSMW with MSW,-0.003461055228231199,-0.0051535391047118784,-8.28539639703748e-5,-0.07556678292983263,-0.1006813417190777,-0.001555555555555798,-0.0819600780429246,-0.11199208218978472,-0.0015652951699465783
0.5,Product,-5.69004495240443e-4,-7.668014721685087e-4,-2.529537280952958e-4,-0.19308730137495012,-0.2375775524160419,-0.14107384042014828,-0.23948175066213728,-0.3119332337869186,-0.16430248015550478
0.75,MSMW with MSM,-0.022124269609896902,-0.024717238560139722,-0.02000511350705303,-0.32348626229019095,-0.33517143630823254,-0.3116763503099189,-0.4782167195610999,-0.5041781315092454,-0.4528060807702162
0.75,MSMW with MSW,0.0010607003322413485,-1.0923614478465168e-4,0.0018298117074812504,0.0419942344525997,-0.00241771726586076,0.07044922050622805,0.040207336419006603,-0.002481178935930276,0.06572273025439097
0.75,Product,-4.6287225727917455e-4,-7.518450763667965e-4,-4.2725095713089077e-4,-0.2796046161693091,-0.3273767227657666,-0.26222239967530303,-0.3881765050934852,-0.4867722656085486,-0.3554222753065277
0.95,MSMW with MSM,-0.01834614468014005,-0.0188623575661628,-0.017513227489249775,-0.43602834749191177,-0.45409299985626067,-0.42612121837473954,-0.7731892757102816,-0.8320023837902292,-0.7425300603583481
0.95,MSMW with MSW,0.0013235552469838502,0.0011363310986060248,0.001676762387665475,0.2724095042031235,0.20401487567904397,0.34246609743845774,0.2139810300974998,0.16892324163413489,0.25494614512470815
0.95,Product,-7.146800448545392e-5,-1.0651030550165672e-4,-4.496463406791618e-5,-0.3092514262435798,-0.34756404225572074,-0.24293523714196086,-0.4478935691396287,-0.5335808017461494,-0.3224644241892887
