p_msmw_w,name,method,median_value,q25,q75,n_sims,p_msmw_w_offset,method_label
0.05,MSM.MSMW,ground_truth,0.0045940595225578505,0.004526860902164824,0.0059007152260398,10,0.04,Ground Truth
0.05,MSM.MSMW,phylo_all_infections,0.00582600043643045,0.005428607972173274,0.006564114159469626,10,0.060000000000000005,Sequences From All Infections
0.05,MSMW.MSW,ground_truth,0.046261687228955795,0.0407250853076951,0.04760032732701833,10,0.04,Ground Truth
0.05,MSMW.MSW,phylo_all_infections,0.0275884996351389,0.02588833807125055,0.02861271213729815,10,0.060000000000000005,Sequences From All Infections
0.05,product,ground_truth,2.1614768279115587e-4,1.9097814798005875e-4,2.7241598709682114e-4,10,0.04,Ground Truth
0.05,product,phylo_all_infections,1.5548180892507104e-4,1.531571397615224e-4,1.8420233807577957e-4,10,0.060000000000000005,Sequences From All Infections
0.25,MSM.MSMW,ground_truth,0.02961199665621155,0.024698763107848853,0.03122752239599355,10,0.24,Ground Truth
0.25,MSM.MSMW,phylo_all_infections,0.0293534995572832,0.026281881659853,0.03275979242953068,10,0.26,Sequences From All Infections
0.25,MSMW.MSW,ground_truth,0.06498503904718636,0.061341685448520894,0.07090754929893063,10,0.24,Ground Truth
0.25,MSMW.MSW,phylo_all_infections,0.05051964094426905,0.04866800809011302,0.05493662229848903,10,0.26,Sequences From All Infections
0.25,product,ground_truth,0.0019006955676207236,0.00156707326429721,0.002517770537261548,10,0.24,Ground Truth
0.25,product,phylo_all_infections,0.001458484894942122,0.0013021407163473202,0.0018615999728110392,10,0.26,Sequences From All Infections
0.5,MSM.MSMW,ground_truth,0.055890208645534,0.049120216085431476,0.06385660104637064,10,0.49,Ground Truth
0.5,MSM.MSMW,phylo_all_infections,0.0466095268394831,0.04094979181258105,0.05523558251521433,10,0.51,Sequences From All Infections
0.5,MSMW.MSW,ground_truth,0.0491415565423618,0.0394171279480243,0.054003439321645905,10,0.49,Ground Truth
0.5,MSMW.MSW,phylo_all_infections,0.045171367205202595,0.0395230993683159,0.05202174742939457,10,0.51,Sequences From All Infections
0.5,product,ground_truth,0.0027443804879091352,0.001877896136049779,0.0035143000195932738,10,0.49,Ground Truth
0.5,product,phylo_all_infections,0.002084325384783244,0.0016178032696007856,0.002908720245211562,10,0.51,Sequences From All Infections
0.75,MSM.MSMW,ground_truth,0.06973682427995814,0.06551484482079259,0.0762176701888382,10,0.74,Ground Truth
0.75,MSM.MSMW,phylo_all_infections,0.04597268918265035,0.04459212853657947,0.055221026837711455,10,0.76,Sequences From All Infections
0.75,MSMW.MSW,ground_truth,0.0260385843667807,0.024976256774115246,0.03219465079443952,10,0.74,Ground Truth
0.75,MSMW.MSW,phylo_all_infections,0.02850532354544975,0.027285435607577426,0.032370912507141573,10,0.76,Sequences From All Infections
0.75,product,ground_truth,0.0018243275254525497,0.0016264828430893699,0.002733259276170239,10,0.74,Ground Truth
0.75,product,phylo_all_infections,0.0013098012688285863,0.0011665229011672703,0.0018920512840212046,10,0.76,Sequences From All Infections
0.95,MSM.MSMW,ground_truth,0.0408312187928066,0.0383974844595014,0.04305129002917672,10,0.94,Ground Truth
0.95,MSM.MSMW,phylo_all_infections,0.0227035032717686,0.019826103482454126,0.02446482210934385,10,0.96,Sequences From All Infections
0.95,MSMW.MSW,ground_truth,0.005879379232296,0.00400363163353365,0.007064437149625975,10,0.94,Ground Truth
0.95,MSMW.MSW,phylo_all_infections,0.0074222580097627,0.005595818717379025,0.008076037993855575,10,0.96,Sequences From All Infections
0.95,product,ground_truth,2.388689831575276e-4,1.486092521542605e-4,3.3673159444175195e-4,10,0.94,Ground Truth
0.95,product,phylo_all_infections,1.7032372592720943e-4,1.0218324445877647e-4,2.1274821566419054e-4,10,0.96,Sequences From All Infections
